nm	Abs
700.000000	0.002514
699.000000	0.002367
698.000000	0.002560
697.000000	0.002384
696.000000	0.002394
695.000000	0.002349
694.000000	0.002403
693.000000	0.002576
692.000000	0.002396
691.000000	0.002467
690.000000	0.002501
689.000000	0.002567
688.000000	0.002465
687.000000	0.002445
686.000000	0.002469
685.000000	0.002384
684.000000	0.002500
683.000000	0.003394
682.000000	0.003263
681.000000	0.003297
680.000000	0.003145
679.000000	0.003331
678.000000	0.003250
677.000000	0.003348
676.000000	0.003185
675.000000	0.003154
674.000000	0.003253
673.000000	0.003373
672.000000	0.003230
671.000000	0.003126
670.000000	0.003350
669.000000	0.003330
668.000000	0.003421
667.000000	0.003485
666.000000	0.003329
665.000000	0.003267
664.000000	0.003157
663.000000	0.003301
662.000000	0.003257
661.000000	0.002886
660.000000	0.003188
659.000000	0.003466
658.000000	0.003421
657.000000	0.003090
656.000000	0.003123
655.000000	0.003464
654.000000	0.003208
653.000000	0.003171
652.000000	0.003226
651.000000	0.003259
650.000000	0.003110
649.000000	0.003214
648.000000	0.002986
647.000000	0.003343
646.000000	0.003095
645.000000	0.003134
644.000000	0.003018
643.000000	0.003189
642.000000	0.003304
641.000000	0.003271
640.000000	0.003076
639.000000	0.003445
638.000000	0.003293
637.000000	0.003090
636.000000	0.003182
635.000000	0.003207
634.000000	0.003307
633.000000	0.003166
632.000000	0.003233
631.000000	0.003261
630.000000	0.003283
629.000000	0.003286
628.000000	0.003063
627.000000	0.003203
626.000000	0.003402
625.000000	0.003362
624.000000	0.003482
623.000000	0.003422
622.000000	0.003205
621.000000	0.003271
620.000000	0.003266
619.000000	0.003288
618.000000	0.003385
617.000000	0.003197
616.000000	0.003219
615.000000	0.003512
614.000000	0.003359
613.000000	0.003456
612.000000	0.003419
611.000000	0.003194
610.000000	0.003136
609.000000	0.003281
608.000000	0.003110
607.000000	0.003472
606.000000	0.003350
605.000000	0.003642
604.000000	0.003480
603.000000	0.003338
602.000000	0.003250
601.000000	0.003542
600.000000	0.003122
599.000000	0.003446
598.000000	0.003390
597.000000	0.003312
596.000000	0.003520
595.000000	0.003657
594.000000	0.003512
593.000000	0.003614
592.000000	0.003618
591.000000	0.003498
590.000000	0.003352
589.000000	0.003395
588.000000	0.003647
587.000000	0.003455
586.000000	0.003512
585.000000	0.003352
584.000000	0.003553
583.000000	0.003838
582.000000	0.003666
581.000000	0.003994
580.000000	0.003653
579.000000	0.003814
578.000000	0.003858
577.000000	0.003946
576.000000	0.003969
575.000000	0.003648
574.000000	0.004172
573.000000	0.003887
572.000000	0.004222
571.000000	0.004098
570.000000	0.004023
569.000000	0.004053
568.000000	0.004215
567.000000	0.004456
566.000000	0.004567
565.000000	0.004224
564.000000	0.003726
563.000000	0.004288
562.000000	0.004403
561.000000	0.004630
560.000000	0.004485
559.000000	0.003741
558.000000	0.004118
557.000000	0.004216
556.000000	0.004072
555.000000	0.003772
554.000000	0.003925
553.000000	0.004023
552.000000	0.004023
551.000000	0.004111
550.000000	0.004404
549.000000	0.004393
548.000000	0.004114
547.000000	0.004198
546.000000	0.004298
545.000000	0.004245
544.000000	0.004112
543.000000	0.004193
542.000000	0.004234
541.000000	0.004181
540.000000	0.003992
539.000000	0.004187
538.000000	0.004211
537.000000	0.004301
536.000000	0.004520
535.000000	0.004339
534.000000	0.004428
533.000000	0.004326
532.000000	0.004571
531.000000	0.004447
530.000000	0.004205
529.000000	0.004409
528.000000	0.004719
527.000000	0.004452
526.000000	0.004662
525.000000	0.004296
524.000000	0.004595
523.000000	0.004262
522.000000	0.004502
521.000000	0.004324
520.000000	0.004450
519.000000	0.004322
518.000000	0.004520
517.000000	0.004672
516.000000	0.004631
515.000000	0.004537
514.000000	0.004605
513.000000	0.004549
512.000000	0.004662
511.000000	0.004610
510.000000	0.004431
509.000000	0.004707
508.000000	0.004956
507.000000	0.004967
506.000000	0.004977
505.000000	0.004874
504.000000	0.005025
503.000000	0.004814
502.000000	0.004845
501.000000	0.004844
500.000000	0.004942
499.000000	0.005044
498.000000	0.004978
497.000000	0.004847
496.000000	0.004972
495.000000	0.004964
494.000000	0.005069
493.000000	0.004790
492.000000	0.005130
491.000000	0.005353
490.000000	0.004841
489.000000	0.004948
488.000000	0.005513
487.000000	0.005225
486.000000	0.005085
485.000000	0.005230
484.000000	0.005280
483.000000	0.005397
482.000000	0.005412
