nm	Abs
700.000000	0.034559
699.000000	0.034934
698.000000	0.034820
697.000000	0.035203
696.000000	0.035469
695.000000	0.035809
694.000000	0.036184
693.000000	0.036544
692.000000	0.036746
691.000000	0.036910
690.000000	0.036911
689.000000	0.037016
688.000000	0.037348
687.000000	0.037537
686.000000	0.037894
685.000000	0.038075
684.000000	0.038478
683.000000	0.038963
682.000000	0.039059
681.000000	0.039289
680.000000	0.039387
679.000000	0.040059
678.000000	0.040286
677.000000	0.040601
676.000000	0.040684
675.000000	0.041316
674.000000	0.041547
673.000000	0.041468
672.000000	0.042030
671.000000	0.042165
670.000000	0.042220
669.000000	0.042615
668.000000	0.043081
667.000000	0.043294
666.000000	0.043438
665.000000	0.044143
664.000000	0.044462
663.000000	0.044779
662.000000	0.044640
661.000000	0.044758
660.000000	0.045192
659.000000	0.045743
658.000000	0.045910
657.000000	0.046383
656.000000	0.046718
655.000000	0.046957
654.000000	0.047047
653.000000	0.047308
652.000000	0.047733
651.000000	0.048102
650.000000	0.048040
649.000000	0.048608
648.000000	0.049002
647.000000	0.049295
646.000000	0.049540
645.000000	0.049986
644.000000	0.050283
643.000000	0.050373
642.000000	0.050821
641.000000	0.050860
640.000000	0.051429
639.000000	0.051718
638.000000	0.052042
637.000000	0.052567
636.000000	0.052754
635.000000	0.053007
634.000000	0.053119
633.000000	0.053169
632.000000	0.053688
631.000000	0.054026
630.000000	0.054004
629.000000	0.054850
628.000000	0.055015
627.000000	0.055330
626.000000	0.055565
625.000000	0.055912
624.000000	0.056121
623.000000	0.056370
622.000000	0.056536
621.000000	0.056740
620.000000	0.057339
619.000000	0.057417
618.000000	0.057767
617.000000	0.058079
616.000000	0.058424
615.000000	0.058517
614.000000	0.059184
613.000000	0.059254
612.000000	0.059693
611.000000	0.060224
610.000000	0.060397
609.000000	0.060927
608.000000	0.061021
607.000000	0.061412
606.000000	0.061886
605.000000	0.062059
604.000000	0.062512
603.000000	0.062476
602.000000	0.062814
601.000000	0.063162
600.000000	0.063776
599.000000	0.063822
598.000000	0.064310
597.000000	0.064713
596.000000	0.064774
595.000000	0.065010
594.000000	0.065344
593.000000	0.065399
592.000000	0.065772
591.000000	0.066060
590.000000	0.066416
589.000000	0.066797
588.000000	0.066888
587.000000	0.067750
586.000000	0.067902
585.000000	0.068133
584.000000	0.068165
583.000000	0.068582
582.000000	0.068649
581.000000	0.069277
580.000000	0.069460
579.000000	0.069485
578.000000	0.070113
577.000000	0.070384
576.000000	0.070807
575.000000	0.071252
574.000000	0.071497
573.000000	0.072025
572.000000	0.071953
571.000000	0.072856
570.000000	0.073055
569.000000	0.073281
568.000000	0.073259
567.000000	0.073511
566.000000	0.073833
565.000000	0.073790
564.000000	0.074053
563.000000	0.074184
562.000000	0.074657
561.000000	0.074984
560.000000	0.075450
559.000000	0.076626
558.000000	0.076617
557.000000	0.076781
556.000000	0.076880
555.000000	0.077387
554.000000	0.077928
553.000000	0.078024
552.000000	0.078674
551.000000	0.079092
550.000000	0.079327
549.000000	0.079668
548.000000	0.079775
547.000000	0.079490
546.000000	0.079926
545.000000	0.080352
544.000000	0.080539
543.000000	0.081121
542.000000	0.081312
541.000000	0.082096
540.000000	0.082380
539.000000	0.082427
538.000000	0.083043
537.000000	0.083247
536.000000	0.083560
535.000000	0.083577
534.000000	0.084109
533.000000	0.084470
532.000000	0.084881
531.000000	0.084896
530.000000	0.085321
529.000000	0.085743
528.000000	0.086009
527.000000	0.086247
526.000000	0.086741
525.000000	0.086839
524.000000	0.087638
523.000000	0.087516
522.000000	0.088094
521.000000	0.088343
520.000000	0.088646
519.000000	0.088961
518.000000	0.089364
517.000000	0.089331
516.000000	0.089844
515.000000	0.089936
514.000000	0.090119
513.000000	0.090649
512.000000	0.090871
511.000000	0.091175
510.000000	0.091723
509.000000	0.091574
508.000000	0.092292
507.000000	0.092261
506.000000	0.092501
505.000000	0.093176
504.000000	0.093299
503.000000	0.093888
502.000000	0.094169
501.000000	0.094472
500.000000	0.094920
499.000000	0.095342
498.000000	0.095697
497.000000	0.096248
496.000000	0.096762
495.000000	0.097288
494.000000	0.097703
493.000000	0.098295
492.000000	0.099051
491.000000	0.099653
490.000000	0.100449
489.000000	0.101342
488.000000	0.102152
487.000000	0.102920
486.000000	0.104230
485.000000	0.105445
484.000000	0.106950
483.000000	0.108017
482.000000	0.109623
481.000000	0.111361
480.000000	0.113187
479.000000	0.115140
478.000000	0.117480
477.000000	0.120602
476.000000	0.123582
475.000000	0.126880
474.000000	0.130296
473.000000	0.134678
472.000000	0.139594
471.000000	0.145355
470.000000	0.152449
469.000000	0.160079
468.000000	0.169214
467.000000	0.179515
466.000000	0.192088
465.000000	0.205666
464.000000	0.222038
463.000000	0.241025
462.000000	0.264222
461.000000	0.290790
460.000000	0.322413
459.000000	0.361709
458.000000	0.406768
457.000000	0.459576
456.000000	0.520478
455.000000	0.586254
454.000000	0.665560
453.000000	0.758069
452.000000	0.865544
451.000000	0.985013
450.000000	1.119759
449.000000	1.269528
448.000000	1.407657
447.000000	1.539850
446.000000	1.632215
445.000000	1.698775
444.000000	1.735697
443.000000	1.745880
442.000000	1.756275
441.000000	1.763364
440.000000	1.772351
439.000000	1.774819
438.000000	1.769368
437.000000	1.779287
436.000000	1.773199
435.000000	1.761848
434.000000	1.777231
433.000000	1.779122
432.000000	1.792528
431.000000	1.782024
430.000000	1.789146
429.000000	1.790959
428.000000	1.786930
427.000000	1.790283
426.000000	1.788950
425.000000	1.790303
424.000000	1.803161
423.000000	1.792298
422.000000	1.811097
421.000000	1.590539
420.000000	1.579446
419.000000	1.576114
418.000000	1.575529
417.000000	1.572373
416.000000	1.575029
415.000000	1.570406
414.000000	1.566282
413.000000	1.567252
412.000000	1.561773
411.000000	1.556294
410.000000	1.557378
409.000000	1.554333
408.000000	1.551541
407.000000	1.547089
406.000000	1.544516
405.000000	1.543944
404.000000	1.536600
403.000000	1.532878
402.000000	1.531504
401.000000	1.526499
400.000000	1.523808
399.000000	1.520400
398.000000	1.514281
397.000000	1.510322
396.000000	1.506402
395.000000	1.499331
