nm	Abs
700.000000	0.001959
699.000000	0.001963
698.000000	0.001894
697.000000	0.002030
696.000000	0.001916
695.000000	0.002134
694.000000	0.002073
693.000000	0.002098
692.000000	0.001799
691.000000	0.001968
690.000000	0.001948
689.000000	0.001878
688.000000	0.002084
687.000000	0.002073
686.000000	0.002115
685.000000	0.002144
684.000000	0.002194
683.000000	0.002462
682.000000	0.002545
681.000000	0.002431
680.000000	0.002711
679.000000	0.002695
678.000000	0.002704
677.000000	0.002753
676.000000	0.002404
675.000000	0.002149
674.000000	0.002166
673.000000	0.002401
672.000000	0.002758
671.000000	0.002766
670.000000	0.002738
669.000000	0.002801
668.000000	0.002644
667.000000	0.002467
666.000000	0.002510
665.000000	0.002184
664.000000	0.002453
663.000000	0.002284
662.000000	0.002247
661.000000	0.002508
660.000000	0.002493
659.000000	0.002545
658.000000	0.002459
657.000000	0.002278
656.000000	0.002469
655.000000	0.002270
654.000000	0.002224
653.000000	0.002254
652.000000	0.002495
651.000000	0.002425
650.000000	0.002562
649.000000	0.002741
648.000000	0.002500
647.000000	0.002455
646.000000	0.002286
645.000000	0.002394
644.000000	0.002557
643.000000	0.002491
642.000000	0.002757
641.000000	0.002553
640.000000	0.002665
639.000000	0.002886
638.000000	0.002508
637.000000	0.002811
636.000000	0.002634
635.000000	0.002605
634.000000	0.002584
633.000000	0.002880
632.000000	0.002751
631.000000	0.002664
630.000000	0.002863
629.000000	0.003038
628.000000	0.002880
627.000000	0.002726
626.000000	0.002656
625.000000	0.002672
624.000000	0.002798
623.000000	0.002731
622.000000	0.002840
621.000000	0.002860
620.000000	0.003005
619.000000	0.003156
618.000000	0.003093
617.000000	0.002876
616.000000	0.002777
615.000000	0.002632
614.000000	0.002711
613.000000	0.002711
612.000000	0.002940
611.000000	0.002940
610.000000	0.002824
609.000000	0.003032
608.000000	0.002898
607.000000	0.003132
606.000000	0.002712
605.000000	0.002811
604.000000	0.002691
603.000000	0.002827
602.000000	0.002957
601.000000	0.003077
600.000000	0.003043
599.000000	0.002956
598.000000	0.002818
597.000000	0.002868
596.000000	0.002814
595.000000	0.003075
594.000000	0.002855
593.000000	0.002895
592.000000	0.002920
591.000000	0.003117
590.000000	0.002815
589.000000	0.003150
588.000000	0.003218
587.000000	0.002733
586.000000	0.002639
585.000000	0.002696
584.000000	0.002699
583.000000	0.002995
582.000000	0.003107
581.000000	0.003303
580.000000	0.003147
579.000000	0.003175
578.000000	0.003111
577.000000	0.003124
576.000000	0.003034
575.000000	0.003163
574.000000	0.003254
573.000000	0.003184
572.000000	0.003372
571.000000	0.003661
570.000000	0.003633
569.000000	0.003403
568.000000	0.003590
567.000000	0.003510
566.000000	0.003255
565.000000	0.003295
564.000000	0.003374
563.000000	0.003382
562.000000	0.003165
561.000000	0.003161
560.000000	0.003730
559.000000	0.003098
558.000000	0.003329
557.000000	0.003332
556.000000	0.003449
555.000000	0.003327
554.000000	0.003738
553.000000	0.003451
552.000000	0.003780
551.000000	0.003684
550.000000	0.003317
549.000000	0.003267
548.000000	0.003435
