nm	Abs
700.000000	0.049515
699.000000	0.049739
698.000000	0.049851
697.000000	0.050043
696.000000	0.049971
695.000000	0.050378
694.000000	0.050369
693.000000	0.050461
692.000000	0.050721
691.000000	0.050794
690.000000	0.050970
689.000000	0.051243
688.000000	0.051610
687.000000	0.051715
686.000000	0.051811
685.000000	0.051850
684.000000	0.052091
683.000000	0.052203
682.000000	0.052631
681.000000	0.052828
680.000000	0.052711
679.000000	0.052982
678.000000	0.053127
677.000000	0.053475
676.000000	0.053647
675.000000	0.054027
674.000000	0.054096
673.000000	0.054250
672.000000	0.054523
671.000000	0.054744
670.000000	0.055165
669.000000	0.055157
668.000000	0.055463
667.000000	0.055961
666.000000	0.055555
665.000000	0.055770
664.000000	0.056220
663.000000	0.056236
662.000000	0.056353
661.000000	0.056677
660.000000	0.057085
659.000000	0.057385
658.000000	0.057297
657.000000	0.057720
656.000000	0.057833
655.000000	0.057926
654.000000	0.058322
653.000000	0.058494
652.000000	0.058700
651.000000	0.059002
650.000000	0.059074
649.000000	0.059341
648.000000	0.059633
647.000000	0.059862
646.000000	0.060165
645.000000	0.060360
644.000000	0.060493
643.000000	0.060829
642.000000	0.061129
641.000000	0.061458
640.000000	0.061746
639.000000	0.061852
638.000000	0.061976
637.000000	0.062287
636.000000	0.062434
635.000000	0.062973
634.000000	0.063012
633.000000	0.063691
632.000000	0.063985
631.000000	0.064096
630.000000	0.064608
629.000000	0.064775
628.000000	0.065131
627.000000	0.065420
626.000000	0.065432
625.000000	0.065884
624.000000	0.066087
623.000000	0.066276
622.000000	0.066738
621.000000	0.067105
620.000000	0.067447
619.000000	0.067611
618.000000	0.067981
617.000000	0.068211
616.000000	0.068825
615.000000	0.069144
614.000000	0.069199
613.000000	0.069848
612.000000	0.069956
611.000000	0.070278
610.000000	0.070457
609.000000	0.071020
608.000000	0.071303
607.000000	0.071741
606.000000	0.072057
605.000000	0.072324
604.000000	0.072792
603.000000	0.073228
602.000000	0.073232
601.000000	0.073753
600.000000	0.074252
599.000000	0.074857
598.000000	0.075072
597.000000	0.075506
596.000000	0.075882
595.000000	0.076287
594.000000	0.076450
593.000000	0.076965
592.000000	0.077323
591.000000	0.077735
590.000000	0.078379
589.000000	0.078316
588.000000	0.078832
587.000000	0.079401
586.000000	0.079785
585.000000	0.079974
584.000000	0.080470
583.000000	0.080915
582.000000	0.081145
581.000000	0.081810
580.000000	0.082535
579.000000	0.082704
578.000000	0.082860
577.000000	0.083348
576.000000	0.084189
575.000000	0.084295
574.000000	0.084972
573.000000	0.085062
572.000000	0.085515
571.000000	0.086151
570.000000	0.086800
569.000000	0.087574
568.000000	0.087764
567.000000	0.088163
566.000000	0.088661
565.000000	0.088921
564.000000	0.089591
563.000000	0.090233
562.000000	0.090992
561.000000	0.090920
560.000000	0.090977
559.000000	0.092771
558.000000	0.092504
