nm	Abs
700.000000	0.017969
699.000000	0.018087
698.000000	0.017894
697.000000	0.017940
696.000000	0.017622
695.000000	0.017642
694.000000	0.017647
693.000000	0.017469
692.000000	0.017434
691.000000	0.017437
690.000000	0.017432
689.000000	0.017543
688.000000	0.017430
687.000000	0.017293
686.000000	0.017106
685.000000	0.017135
684.000000	0.017143
683.000000	0.016742
682.000000	0.016622
681.000000	0.016261
680.000000	0.016261
679.000000	0.016534
678.000000	0.016385
677.000000	0.016608
676.000000	0.016542
675.000000	0.016687
674.000000	0.016359
673.000000	0.016160
672.000000	0.016618
671.000000	0.016485
670.000000	0.016568
669.000000	0.016125
668.000000	0.016464
667.000000	0.016484
666.000000	0.015989
665.000000	0.015882
664.000000	0.016225
663.000000	0.015963
662.000000	0.015839
661.000000	0.015650
660.000000	0.015863
659.000000	0.015711
658.000000	0.015442
657.000000	0.015556
656.000000	0.015547
655.000000	0.015556
654.000000	0.015411
653.000000	0.015583
652.000000	0.015465
651.000000	0.015123
650.000000	0.015240
649.000000	0.015007
648.000000	0.015163
647.000000	0.015196
646.000000	0.015104
645.000000	0.015036
644.000000	0.014836
643.000000	0.014616
642.000000	0.014841
641.000000	0.014973
640.000000	0.014854
639.000000	0.014775
638.000000	0.014691
637.000000	0.014516
636.000000	0.014324
635.000000	0.014361
634.000000	0.014431
633.000000	0.014639
632.000000	0.014397
631.000000	0.014205
630.000000	0.014537
629.000000	0.014411
628.000000	0.014400
627.000000	0.014179
626.000000	0.014334
625.000000	0.014208
624.000000	0.014248
623.000000	0.014033
622.000000	0.013865
621.000000	0.013748
620.000000	0.013691
619.000000	0.013722
618.000000	0.013643
617.000000	0.013473
616.000000	0.013639
615.000000	0.013523
614.000000	0.013454
613.000000	0.013444
612.000000	0.013484
611.000000	0.013102
610.000000	0.012966
609.000000	0.013240
608.000000	0.013053
607.000000	0.013166
606.000000	0.013038
605.000000	0.013083
604.000000	0.013060
603.000000	0.013023
602.000000	0.012823
601.000000	0.012929
600.000000	0.012958
599.000000	0.012934
598.000000	0.012490
597.000000	0.012599
596.000000	0.012568
595.000000	0.012524
594.000000	0.012689
593.000000	0.012742
592.000000	0.012345
591.000000	0.012372
590.000000	0.012423
589.000000	0.012330
588.000000	0.012244
587.000000	0.012362
586.000000	0.012195
585.000000	0.012075
584.000000	0.012293
583.000000	0.012410
582.000000	0.011998
581.000000	0.012249
580.000000	0.011922
579.000000	0.011752
578.000000	0.011532
577.000000	0.011674
576.000000	0.011656
575.000000	0.011556
574.000000	0.011658
573.000000	0.011465
572.000000	0.011594
571.000000	0.011257
570.000000	0.011383
569.000000	0.011781
568.000000	0.011487
567.000000	0.011663
566.000000	0.011186
565.000000	0.011180
564.000000	0.011586
563.000000	0.011478
562.000000	0.011341
561.000000	0.011193
560.000000	0.010474
559.000000	0.011398
558.000000	0.011141
557.000000	0.011406
556.000000	0.011243
555.000000	0.011036
554.000000	0.011065
553.000000	0.010876
552.000000	0.011027
551.000000	0.011005
550.000000	0.010829
549.000000	0.010869
548.000000	0.011164
547.000000	0.011262
546.000000	0.011128
545.000000	0.010783
544.000000	0.010762
543.000000	0.010858
542.000000	0.010913
541.000000	0.010950
540.000000	0.010991
539.000000	0.010904
538.000000	0.010938
537.000000	0.011224
536.000000	0.010980
535.000000	0.010962
534.000000	0.011378
533.000000	0.010931
532.000000	0.011217
531.000000	0.011162
530.000000	0.011362
529.000000	0.011654
528.000000	0.011525
527.000000	0.011601
526.000000	0.011913
525.000000	0.011814
524.000000	0.012196
523.000000	0.011668
522.000000	0.012020
521.000000	0.012274
520.000000	0.012007
519.000000	0.012332
518.000000	0.012634
517.000000	0.013221
516.000000	0.012968
515.000000	0.013228
514.000000	0.013618
513.000000	0.013331
512.000000	0.013834
511.000000	0.014146
510.000000	0.014303
509.000000	0.014398
508.000000	0.014739
507.000000	0.015047
506.000000	0.015234
505.000000	0.015843
504.000000	0.016150
503.000000	0.016141
502.000000	0.016979
501.000000	0.017457
500.000000	0.017803
499.000000	0.018261
498.000000	0.018767
497.000000	0.019409
496.000000	0.019833
495.000000	0.020507
494.000000	0.021027
493.000000	0.021532
492.000000	0.022439
491.000000	0.023119
490.000000	0.023743
489.000000	0.024568
488.000000	0.025282
487.000000	0.026295
486.000000	0.027189
485.000000	0.027950
484.000000	0.028764
483.000000	0.029920
482.000000	0.030955
481.000000	0.031872
480.000000	0.032865
479.000000	0.033953
478.000000	0.035382
477.000000	0.036371
476.000000	0.037532
