Sample ID; Description; Type
Sample14861; ; Sample
Sample14860; ; Sample
Sample14859; ; Sample
Sample14858; ; Sample
Sample14857; ; Sample
Sample14856; ; Sample
11; ; Sample
12; ; Sample
11_12; ; Sample
13; ; Sample
14; ; Sample
15; ; Sample
11_15; ; Sample
11_13; ; Sample
12_13; ; Sample
11_14; ; Sample
12_14; ; Sample
13_14; ; Sample
12_15; ; Sample
13_15; ; Sample
14_15; ; Sample
Sample14876; ; Sample
Sample14877; ; Sample
Sample14878; ; Sample
Sample14879; ; Sample
Sample14880; ; Sample
Sample14881; ; Sample
Sample14882; ; Sample
Sample14883; ; Sample
Sample14884; ; Sample
Sample14885; ; Sample
Sample14886; ; Sample
Sample14887; ; Sample
Sample14888; ; Sample
Sample14889; ; Sample
Sample14890; ; Sample
Sample14891; ; Sample
Sample14892; ; Sample
Sample14893; ; Sample
Sample14894; ; Sample
Sample14895; ; Sample
Sample14896; ; Sample
Sample14897; ; Sample
Sample14898; ; Sample
Sample14899; ; Sample
Sample14900; ; Sample
Sample14901; ; Sample
Sample14902; ; Sample
Sample14903; ; Sample
Sample14904; ; Sample
