nm	Abs
700.000000	0.019034
699.000000	0.019029
698.000000	0.019343
697.000000	0.018859
696.000000	0.019318
695.000000	0.019395
694.000000	0.019318
693.000000	0.019552
692.000000	0.019402
691.000000	0.019767
690.000000	0.019518
689.000000	0.019960
688.000000	0.019792
687.000000	0.019636
686.000000	0.019979
685.000000	0.019676
684.000000	0.019742
683.000000	0.020203
682.000000	0.020299
681.000000	0.020232
680.000000	0.020142
679.000000	0.020220
678.000000	0.020492
677.000000	0.020191
676.000000	0.020588
675.000000	0.020341
674.000000	0.020739
673.000000	0.020615
672.000000	0.020761
671.000000	0.020771
670.000000	0.020597
669.000000	0.021225
668.000000	0.020786
667.000000	0.020851
666.000000	0.020988
665.000000	0.021038
664.000000	0.021050
663.000000	0.020982
662.000000	0.021273
661.000000	0.020901
660.000000	0.021272
659.000000	0.021325
658.000000	0.021181
657.000000	0.021575
656.000000	0.021244
655.000000	0.021631
654.000000	0.021681
653.000000	0.021769
652.000000	0.021465
651.000000	0.021551
650.000000	0.021832
649.000000	0.021837
648.000000	0.021888
647.000000	0.021878
646.000000	0.022356
645.000000	0.022074
644.000000	0.021666
643.000000	0.022360
642.000000	0.022037
641.000000	0.022131
640.000000	0.021984
639.000000	0.022817
638.000000	0.022608
637.000000	0.022453
636.000000	0.022857
635.000000	0.022643
634.000000	0.022938
633.000000	0.022582
632.000000	0.022858
631.000000	0.023049
630.000000	0.022919
629.000000	0.023007
628.000000	0.023072
627.000000	0.023272
626.000000	0.023134
625.000000	0.023481
624.000000	0.023712
623.000000	0.023542
622.000000	0.023626
621.000000	0.023539
620.000000	0.024119
619.000000	0.023924
618.000000	0.023752
617.000000	0.023879
616.000000	0.024352
615.000000	0.024267
614.000000	0.023983
613.000000	0.024478
612.000000	0.024420
611.000000	0.024347
610.000000	0.024806
609.000000	0.024707
608.000000	0.024729
607.000000	0.024722
606.000000	0.025112
605.000000	0.025156
604.000000	0.024975
603.000000	0.025139
602.000000	0.025307
601.000000	0.025469
600.000000	0.024961
599.000000	0.025671
598.000000	0.025465
597.000000	0.025615
596.000000	0.025668
595.000000	0.025750
594.000000	0.025805
593.000000	0.025731
592.000000	0.026204
591.000000	0.026039
590.000000	0.026165
589.000000	0.026207
588.000000	0.026381
587.000000	0.026522
586.000000	0.026003
585.000000	0.026309
584.000000	0.026580
583.000000	0.026514
582.000000	0.026844
581.000000	0.026552
580.000000	0.027197
579.000000	0.027000
578.000000	0.027120
577.000000	0.027124
576.000000	0.027362
575.000000	0.027734
574.000000	0.027610
573.000000	0.028163
572.000000	0.027815
571.000000	0.028197
570.000000	0.027887
569.000000	0.028234
568.000000	0.028192
567.000000	0.028143
566.000000	0.028297
565.000000	0.028412
564.000000	0.028735
563.000000	0.028775
562.000000	0.029042
561.000000	0.029002
560.000000	0.028860
559.000000	0.029626
558.000000	0.029511
557.000000	0.029352
556.000000	0.029611
555.000000	0.029493
554.000000	0.029871
553.000000	0.029923
552.000000	0.030113
551.000000	0.030507
550.000000	0.030371
549.000000	0.030557
548.000000	0.030705
547.000000	0.030856
546.000000	0.030778
545.000000	0.030843
544.000000	0.030772
543.000000	0.031085
542.000000	0.031493
541.000000	0.031502
540.000000	0.031796
539.000000	0.031788
538.000000	0.031501
537.000000	0.032014
536.000000	0.031765
535.000000	0.032410
534.000000	0.032581
533.000000	0.032415
532.000000	0.032593
531.000000	0.032809
530.000000	0.032874
529.000000	0.032720
528.000000	0.033104
527.000000	0.033379
526.000000	0.033584
525.000000	0.033557
524.000000	0.034004
523.000000	0.033977
522.000000	0.033646
521.000000	0.034769
520.000000	0.034216
519.000000	0.034389
518.000000	0.034403
517.000000	0.034884
516.000000	0.034933
515.000000	0.035012
514.000000	0.035139
513.000000	0.035538
512.000000	0.035802
511.000000	0.035631
510.000000	0.035535
509.000000	0.036132
508.000000	0.035814
507.000000	0.036349
506.000000	0.036546
505.000000	0.036660
504.000000	0.036872
503.000000	0.036490
502.000000	0.037445
501.000000	0.037198
500.000000	0.037765
499.000000	0.037669
498.000000	0.037617
497.000000	0.038267
496.000000	0.037773
495.000000	0.038665
494.000000	0.038923
493.000000	0.038662
492.000000	0.038778
491.000000	0.039055
490.000000	0.039456
489.000000	0.039423
488.000000	0.039781
487.000000	0.039907
486.000000	0.040058
485.000000	0.040004
484.000000	0.040701
483.000000	0.041197
482.000000	0.041052
481.000000	0.041021
480.000000	0.041241
479.000000	0.041807
478.000000	0.042100
477.000000	0.041955
476.000000	0.042814
475.000000	0.042775
474.000000	0.042716
473.000000	0.043119
472.000000	0.043539
471.000000	0.043792
470.000000	0.043820
469.000000	0.044651
