ID1,Nome1,Smile1,ID2,Nome2,Smile2,pixel,resultado
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,2,Limonene,CC(=C)C1CCC(=CC1)C,12.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,3,TESCl,CC[Si](Cl)(CC)CC,14.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,4,Umemoto's reagent,[O-][S](=O)(=O)C(F)(F)F.FC(F)(F)[S+]1C2=C(C=CC=C2)C3=CC=CC=C13,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,5,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,17.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,6,Salicylaldehyde,OC1=CC=CC=C1C=O,13.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,7,"N,N-Dimethylaniline",CN(C)C1=CC=CC=C1,381.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,8,Diethyl cyanomethylphosphonate,CCO[P](=O)(CC#N)OCC,49.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,9,p-tolyl isocyanate,CC1=CC=C(C=C1)N=C=O,6.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,10,Cinnamaldehyde,O=C\C=C\C1=CC=CC=C1,7.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,11,1-Naphthol,OC1=C2C=CC=CC2=CC=C1,82.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,12,2-Bromopropene,CC(Br)=C,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,13,Methyl acrylate,COC(=O)C=C,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,14,m-Cresol,CC1=CC(=CC=C1)O,12.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,15,Pentafluorobenzaldehyde,Fc1c(F)c(F)c(C=O)c(F)c1F,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,16,Dimethyl 3-methylglutaconate,COC(=O)C/C(C)=C/C(=O)OC,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,17,Select fluor,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,18,Ethyl bromoacetate,CCOC(=O)CBr,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,19,4-Pyridinecarboxaldehyde,O=CC1=CC=NC=C1,17.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,20,Iodo-benzene,IC1=CC=CC=C1,12.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,21,Bis(trimethylsilyl)acetamide,C[Si](C)(C)C(C(N)=O)[Si](C)(C)C,123.0,3.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,22,Iodobenzene diacetate,CC(=O)O[I](OC(C)=O)C1=CC=CC=C1,27.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,23,"4,4,4-trifluoro-1-phenyl-1,3-butanedione",FC(F)(F)C(=O)CC(=O)c1ccccc1,152.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,24,Hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,371.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,25,5-Hexyn-1-ol,OCCCCC#C,93.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,26,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,27,Dibromomethane,BrCBr,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,28,NBS,BrN1C(=O)CCC1=O,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,29,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,30,Diisopropyl L-tartrate,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,16.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,31,Ethanolamine,NCCO,410.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,32,"3,5-Dimethyl pyrazole",CC1=CC(=N[NH]1)C,136.0,3.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,33,"Trifluoro-2,4-pentanedione",CC(=O)CC(=O)C(F)(F)F,69.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,34,"2-Butene-1,4-diol",OC\C=C\CO,9.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,35,"N,N-Bis-(Salicylidine)-Ethylenediamine",OC1=C(C=CC=C1)C=NCCN=CC2=C(O)C=CC=C2,15.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,36,Pyridine,c1ccncc1,88.0,3.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,37,4-nitrophthalonitrile,[O-][N+](=O)C1=CC=C(C#N)C(=C1)C#N,6.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,38,Diisopropylamine,CC(C)NC(C)C,171.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,39,Trimethyl phosphate,CO[P](=O)(OC)OC,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,40,L-Glutamic Acid,NC(CCC(O)=O)C(O)=O,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,41,Triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,329.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,42,Perchloroethylene,ClC(Cl)=C(Cl)Cl,0.0,0.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,43,Carvone,CC(=C)C1CC=C(C)C(=O)C1,7.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,44,"1,4-Diazabicyclo [2.2.2] octane",C1CN2CCN1CC2,386.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,45,1-(Trimethylsilyl)imidazole,C[Si](C)(C)[N]1C=CN=C1,400.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,46,Carvacrol,CC(C)C1=CC(=C(C)C=C1)O,40.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,47,L-Phenylalanine,NC(CC1=CC=CC=C1)C(O)=O,11.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,48,"1,5-dihydroxynaphthalene",OC1=CC=CC2=C(O)C=CC=C12,70.0,1.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,49,4-nitrobenzaldehyde,[O-][N+](=O)C1=CC=C(C=O)C=C1,12.0,2.0
1,Diazonium salt,COC1=CC=C(C=C1)[N+]#N.F[B-](F)(F)F,50,Phenylacetylene,C#CC1=CC=CC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,3,TESCl,CC[Si](Cl)(CC)CC,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,4,Umemoto's reagent,[O-][S](=O)(=O)C(F)(F)F.FC(F)(F)[S+]1C2=C(C=CC=C2)C3=CC=CC=C13,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,5,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,6,Salicylaldehyde,OC1=CC=CC=C1C=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,7,"N,N-Dimethylaniline",CN(C)C1=CC=CC=C1,30.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,8,Diethyl cyanomethylphosphonate,CCO[P](=O)(CC#N)OCC,6.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,9,p-tolyl isocyanate,CC1=CC=C(C=C1)N=C=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,10,Cinnamaldehyde,O=C\C=C\C1=CC=CC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,11,1-Naphthol,OC1=C2C=CC=CC2=CC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,12,2-Bromopropene,CC(Br)=C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,13,Methyl acrylate,COC(=O)C=C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,14,m-Cresol,CC1=CC(=CC=C1)O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,15,Pentafluorobenzaldehyde,Fc1c(F)c(F)c(C=O)c(F)c1F,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,16,Dimethyl 3-methylglutaconate,COC(=O)C/C(C)=C/C(=O)OC,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,17,Select fluor,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,18,Ethyl bromoacetate,CCOC(=O)CBr,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,19,4-Pyridinecarboxaldehyde,O=CC1=CC=NC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,20,Iodo-benzene,IC1=CC=CC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,21,Bis(trimethylsilyl)acetamide,C[Si](C)(C)C(C(N)=O)[Si](C)(C)C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,22,Iodobenzene diacetate,CC(=O)O[I](OC(C)=O)C1=CC=CC=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,23,"4,4,4-trifluoro-1-phenyl-1,3-butanedione",FC(F)(F)C(=O)CC(=O)c1ccccc1,8.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,24,Hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,25,5-Hexyn-1-ol,OCCCCC#C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,26,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,27,Dibromomethane,BrCBr,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,28,NBS,BrN1C(=O)CCC1=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,29,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,30,Diisopropyl L-tartrate,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,31,Ethanolamine,NCCO,29.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,32,"3,5-Dimethyl pyrazole",CC1=CC(=N[NH]1)C,8.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,33,"Trifluoro-2,4-pentanedione",CC(=O)CC(=O)C(F)(F)F,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,34,"2-Butene-1,4-diol",OC\C=C\CO,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,35,"N,N-Bis-(Salicylidine)-Ethylenediamine",OC1=C(C=CC=C1)C=NCCN=CC2=C(O)C=CC=C2,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,36,Pyridine,c1ccncc1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,37,4-nitrophthalonitrile,[O-][N+](=O)C1=CC=C(C#N)C(=C1)C#N,6.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,38,Diisopropylamine,CC(C)NC(C)C,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,39,Trimethyl phosphate,CO[P](=O)(OC)OC,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,40,L-Glutamic Acid,NC(CCC(O)=O)C(O)=O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,41,Triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,42,Perchloroethylene,ClC(Cl)=C(Cl)Cl,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,43,Carvone,CC(=C)C1CC=C(C)C(=O)C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,44,"1,4-Diazabicyclo [2.2.2] octane",C1CN2CCN1CC2,18.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,45,1-(Trimethylsilyl)imidazole,C[Si](C)(C)[N]1C=CN=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,46,Carvacrol,CC(C)C1=CC(=C(C)C=C1)O,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,47,L-Phenylalanine,NC(CC1=CC=CC=C1)C(O)=O,7.0,2.0
2,Limonene,CC(=C)C1CCC(=CC1)C,48,"1,5-dihydroxynaphthalene",OC1=CC=CC2=C(O)C=CC=C12,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,49,4-nitrobenzaldehyde,[O-][N+](=O)C1=CC=C(C=O)C=C1,0.0,0.0
2,Limonene,CC(=C)C1CCC(=CC1)C,50,Phenylacetylene,C#CC1=CC=CC=C1,0.0,0.0
3,TESCl,CC[Si](Cl)(CC)CC,4,Umemoto's reagent,[O-][S](=O)(=O)C(F)(F)F.FC(F)(F)[S+]1C2=C(C=CC=C2)C3=CC=CC=C13,10.0,2.0
3,TESCl,CC[Si](Cl)(CC)CC,5,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,0.0,0.0
3,TESCl,CC[Si](Cl)(CC)CC,6,Salicylaldehyde,OC1=CC=CC=C1C=O,0.0,0.0
